"GEO_ID";"GEO_NAME";"VARIABLE";VALUE;"UNIT";"STATUS";"STATUS_DESC";"DESC_VAL";"PERIOD_REF";"SOURCE";"LAST_UPDATE";"GEOM_CODE";"GEOM";"GEOM_PERIOD";"MAP_ID";"MAP_URL"
"53";"Bülach";"Revenu net par habitant/-e, en francs";38158;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"polg";"Communes";"2019-01-01";"26748";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26748_fr.html"
"54";"Dietlikon";"Revenu net, en mio. de francs";326;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"polg";"Communes";"2019-01-01";"26748";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26748_fr.html"
"54";"Dietlikon";"Revenu net par habitant/-e, en francs";41541;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"polg";"Communes";"2019-01-01";"26748";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26748_fr.html"
"55";"Eglisau";"Revenu net, en mio. de francs";222;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"polg";"Communes";"2019-01-01";"26748";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26748_fr.html"
"55";"Eglisau";"Revenu net par habitant/-e, en francs";41609;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"polg";"Communes";"2019-01-01";"26748";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26748_fr.html"
"56";"Embrach";"Revenu net, en mio. de francs";336;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"polg";"Communes";"2019-01-01";"26748";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26748_fr.html"
"56";"Embrach";"Revenu net par habitant/-e, en francs";35696;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"polg";"Communes";"2019-01-01";"26748";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26748_fr.html"
"57";"Freienstein-Teufen";"Revenu net, en mio. de francs";99;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"polg";"Communes";"2019-01-01";"26748";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26748_fr.html"
"57";"Freienstein-Teufen";"Revenu net par habitant/-e, en francs";41564;"Personnes";"A";"Normaler Wert";"";"2019-12-31";"ESTV";"2023-01-26";"polg";"Communes";"2019-01-01";"26748";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26748_fr.html"
"58";"Glattfelden";"Revenu net, en mio. de francs";191;"Mio. de Francs";"A";"Normaler Wert";"";"2019-01-01/2019-12-31";"ESTV";"2023-01-26";"polg";"Communes";"2019-01-01";"26748";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26748_fr.html"
